cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.11,3.79,954.70,27.04,-0.60,499.00
0.17,3.79,955.10,27.04,-0.59,495.50
0.11,3.79,954.90,27.03,-0.59,497.25
0.08,3.79,955.70,27.03,-0.59,490.27
0.13,3.79,955.10,27.02,-0.59,495.50
0.15,3.79,955.10,27.02,-0.59,495.50
0.11,3.79,954.80,27.01,-0.60,498.12
0.13,3.79,955.10,27.01,-0.59,495.50
0.15,3.79,954.60,27.01,-0.60,499.87
0.15,3.79,955.20,27.00,-0.59,494.63
0.11,3.79,954.90,27.00,-0.59,497.25
0.13,3.79,955.20,26.99,-0.59,494.63
0.08,3.79,955.20,26.99,-0.59,494.63
0.13,3.79,955.20,26.98,-0.59,494.63
0.11,3.79,955.20,26.98,-0.59,494.63
0.11,3.79,955.10,26.98,-0.59,495.50
0.13,3.79,954.70,26.98,-0.60,499.00
0.11,3.79,955.10,26.97,-0.59,495.50
0.11,3.79,955.10,26.96,-0.59,495.50
0.15,3.79,954.70,26.96,-0.60,499.00
0.11,3.79,954.70,26.95,-0.60,499.00
0.11,3.79,954.60,26.94,-0.60,499.87
0.11,3.79,954.90,26.93,-0.59,497.25
0.13,3.79,955.30,26.93,-0.59,493.76
0.06,3.79,955.10,26.93,-0.59,495.50
0.08,3.78,955.40,26.92,-0.59,492.88
0.08,3.79,954.80,26.92,-0.60,498.12
0.17,3.79,954.70,26.91,-0.60,499.00
0.08,3.79,954.90,26.90,-0.59,497.25
0.11,3.79,955.10,26.90,-0.59,495.50
0.11,3.79,954.90,26.89,-0.59,497.25
0.13,3.78,954.90,26.89,-0.59,497.25
0.08,3.79,955.00,26.88,-0.59,496.38
0.06,3.79,955.10,26.88,-0.59,495.50
0.08,3.79,954.90,26.87,-0.59,497.25
0.08,3.79,955.00,26.87,-0.59,496.38
0.11,3.79,954.60,26.86,-0.60,499.87
0.13,3.79,955.20,26.86,-0.59,494.63
0.08,3.79,954.30,26.87,-0.60,502.49
0.06,3.79,954.30,26.86,-0.60,502.49
0.11,3.79,954.80,26.86,-0.60,498.12
0.13,3.79,954.50,26.85,-0.60,500.74
0.06,3.79,954.60,26.85,-0.60,499.87
0.06,3.79,954.50,26.85,-0.60,500.74
0.06,3.79,954.30,26.84,-0.60,502.49
0.08,3.79,954.40,26.84,-0.60,501.62
0.13,3.79,954.50,26.83,-0.60,500.74
0.13,3.79,954.70,26.83,-0.60,499.00
0.11,3.79,954.50,26.83,-0.60,500.74
0.13,3.79,954.60,26.83,-0.60,499.87
0.11,3.79,954.70,26.82,-0.60,499.00
0.13,3.79,954.50,26.82,-0.60,500.74
0.08,3.79,954.80,26.82,-0.60,498.12
0.17,3.79,954.30,26.82,-0.60,502.49
0.11,3.79,954.40,26.82,-0.60,501.62
0.13,3.79,955.20,26.81,-0.59,494.63
