EC,PRESS,TEMP,DEPTH,ALT
592.50,6541.70,34.78,56.55,-18875.89,
594.50,6591.50,34.80,57.06,-18967.13,
594.30,6652.30,34.81,57.68,-19077.78,
594.30,6720.60,34.83,58.38,-19201.10,
594.10,6778.00,34.84,58.96,-19303.96,
594.10,6827.90,34.86,59.47,-19392.81,
593.90,6875.40,34.87,59.96,-19476.90,
593.90,6935.40,34.89,60.57,-19582.44,
593.60,6983.90,34.90,61.07,-19667.22,
593.50,7058.90,34.92,61.84,-19797.39,
593.40,7110.50,34.94,62.36,-19886.30,
593.10,7159.80,34.95,62.87,-19970.74,
